,degrees,original
0,1.7759866417603618,-10.79
1,1.7759866417603618,-10.08
2,1.7759866417603618,-9.380000000000003
3,1.7759866417603618,-7.559999999999999
4,1.7759866417603618,-5.949999999999999
5,1.7759866417603618,-3.23
6,1.7759866417603618,-0.81
7,1.7759866417603618,1.21
8,1.7759866417603618,3.4300000000000006
9,1.7759866417603618,4.44
10,1.7759866417603618,5.340000000000001
11,1.7759866417603618,5.75
12,1.7759866417603618,7.16
13,1.7759866417603618,8.27
14,1.7759866417603618,9.48
15,1.7759866417603618,0.0
16,1.7759866417603618,9.88
17,1.7759866417603618,9.979999999999999
18,1.7759866417603618,10.389999999999999
19,1.7759866417603618,11.6
20,1.7759866417603618,11.39
21,1.7759866417603618,10.89
22,1.7759866417603618,10.89
23,1.7759866417603618,10.89
24,1.7759866417603618,10.59
25,1.7759866417603618,10.389999999999999
26,1.7759866417603618,10.389999999999999
27,1.7759866417603618,10.79
28,1.7759866417603618,11.6
29,1.7759866417603618,12.0
30,1.7759866417603618,12.100000000000001
31,1.7759866417603618,12.2
32,1.7759866417603618,12.300000000000002
33,1.7759866417603618,12.61
34,1.7759866417603618,13.01
35,1.7759866417603618,13.71
36,1.7759866417603618,14.420000000000002
37,1.7759866417603618,15.13
38,1.7759866417603618,16.24
39,1.7759866417603618,17.75
40,1.7759866417603618,19.16
41,1.7759866417603618,20.370000000000005
42,1.7759866417603618,21.38
43,1.7759866417603618,22.08
44,1.7759866417603618,22.99
45,1.7759866417603618,23.9
46,1.7759866417603618,24.810000000000002
47,1.7759866417603618,25.71
48,1.7759866417603618,27.03
49,1.7759866417603618,27.93
50,1.7759866417603618,28.939999999999998
51,1.7759866417603618,29.75
52,1.7759866417603618,30.76
53,1.7759866417603618,31.66
54,1.7759866417603618,32.67
55,1.7759866417603618,34.18
56,1.7759866417603618,35.5
57,1.7759866417603618,36.400000000000006
58,1.7759866417603618,38.22
59,1.7759866417603618,39.43
60,1.7759866417603618,41.04
61,1.7759866417603618,42.86
62,1.7759866417603618,44.37
63,1.7759866417603618,46.08
64,1.7759866417603618,47.19
65,1.7759866417603618,47.39
66,1.7759866417603618,47.39
67,1.7759866417603618,46.39
68,1.7759866417603618,45.48
69,1.7759866417603618,47.09
70,1.7759866417603618,49.21
71,1.7759866417603618,50.62
72,1.7759866417603618,50.720000000000006
73,1.7759866417603618,51.63
74,1.7759866417603618,52.34
75,1.7759866417603618,53.24
76,1.7759866417603618,53.14
77,1.7759866417603618,53.55
78,1.7759866417603618,54.66
79,1.7759866417603618,54.66
80,1.7759866417603618,52.54
81,1.7759866417603618,49.41
82,1.7759866417603618,47.599999999999994
83,1.7759866417603618,47.599999999999994
84,1.7759866417603618,47.599999999999994
85,1.7759866417603618,47.599999999999994
86,1.7759866417603618,46.59
87,1.7759866417603618,44.57
88,1.7759866417603618,43.36
89,1.7759866417603618,42.25
90,1.7759866417603618,41.54999999999999
91,1.7759866417603618,41.34
92,1.7759866417603618,41.34
93,1.7759866417603618,41.24
94,1.7759866417603618,41.04
95,1.7759866417603618,40.84
96,1.7759866417603618,40.24
97,1.7759866417603618,39.73
98,1.7759866417603618,39.73
99,1.7759866417603618,39.63
100,1.7759866417603618,39.63
101,1.7759866417603618,39.73
102,1.7759866417603618,40.74000000000001
103,1.7759866417603618,41.85
104,1.7759866417603618,42.349999999999994
105,1.7759866417603618,42.349999999999994
106,1.7759866417603618,42.349999999999994
107,1.7759866417603618,42.349999999999994
108,1.7759866417603618,42.349999999999994
109,1.7759866417603618,42.55
110,1.7759866417603618,42.959999999999994
111,1.7759866417603618,43.86999999999999
112,1.7759866417603618,44.77
113,1.7759866417603618,45.57999999999999
114,1.7759866417603618,45.78
115,1.7759866417603618,45.98
116,1.7759866417603618,46.29
117,1.7759866417603618,46.29
118,1.7759866417603618,46.29
119,1.7759866417603618,46.29
120,1.7759866417603618,46.29
121,1.7759866417603618,46.49
122,1.7759866417603618,46.49
123,1.7759866417603618,46.39
124,1.7759866417603618,46.39
125,1.7759866417603618,46.49
126,1.7759866417603618,46.69
127,1.7759866417603618,46.989999999999995
128,1.7759866417603618,47.09
129,1.7759866417603618,47.19
130,1.7759866417603618,47.19
131,1.7759866417603618,47.19
132,1.7759866417603618,47.19
133,1.7759866417603618,47.19
134,1.7759866417603618,47.09
135,1.7759866417603618,47.09
136,1.7759866417603618,47.39
137,1.7759866417603618,47.7
138,1.7759866417603618,0.0
139,1.7759866417603618,47.7
140,1.7759866417603618,47.7
141,1.7759866417603618,47.7
142,1.7759866417603618,47.7
143,1.7759866417603618,47.7
144,1.7759866417603618,47.8
145,1.7759866417603618,47.7
146,1.7759866417603618,47.7
147,1.7759866417603618,47.7
148,1.7759866417603618,47.7
149,1.7759866417603618,47.7
150,1.7759866417603618,47.7
151,1.7759866417603618,47.7
152,1.7759866417603618,47.8
153,1.7759866417603618,47.8
154,1.7759866417603618,48.0
155,1.7759866417603618,0.0
156,1.7759866417603618,48.5
157,1.7759866417603618,48.71000000000001
158,1.7759866417603618,48.91
159,1.7759866417603618,49.11
160,1.7759866417603618,49.21
